company,rank,revenue,profit,num. of employees,Market Cap
Duke Energy,145,24677,3908,27605,85967
United Airlines Holdings,146,24634,-1964,84100,15049.7
Visa,147,24105,12311,21500,480022.5
Rite Aid,148,24043.4,-90.9,50000,488.1
Cummins,149,24021,2131,59900,29140.9
U.S. Bancorp,150,23714,7963,68796,78929.8
Paccar,151,23522.3,1852.1,28500,29101
McDonald's,152,23222.9,7545.2,200000,183873.6
Southern,153,23113,2393,27164,76877
C.H. Robinson Worldwide,154,23102.1,844.2,16877,13855.8
Truist Financial,155,23064,6440,51462,75353.9
Applied Materials,156,23063,5888,27000,116431.4
Freeport-McMoRan,157,22845,4306,24700,72360.8
Lithia Motors,158,22831.7,1060,21150,5678
Blackstone,159,22577.1,5857.4,3795,88907.2
Hartford Financial Services Group,160,22390,2365,18100,23815.6
Aflac,161,22106,4325,12447,41812.8
Whirlpool,162,21985,1783,69000,10101.2
Union Pacific,163,21804,6523,32124,171681.6
International Paper,164,21780,1752,38200,17301.1
Altria Group,165,21111,2475,6000,94951.7
CDW,166,20820.8,988.6,13900,24140.2
ManpowerGroup,167,20724.4,382.4,30000,5025.6
PG&E,168,20642,-102,26000,29433.7
Carrier Global,169,20613,1664,58000,39127.4
Baker Hughes,170,20502,-219,54000,37410.2
Cleveland-Cliffs,171,20444,2988,26000,16891.2
United States Steel,172,20275,4174,24540,9832.3
Becton Dickinson,173,20248,2092,75000,75749.1
CarMax,174,20092.1,746.9,26889,15305
Sherwin-Williams,175,19944.6,1864.4,61626,65037.9
Builders FirstSource,176,19893.9,1725.4,28000,9205
Marsh & McLennan,177,19820,3143,83000,85681.3
PNC Financial Services Group,178,19698,5674,58547,77203.4
Lumen Technologies,179,19687,2033,36000,11533.4
Avnet,180,19534.7,193.1,14500,4016.9
Tenet Healthcare,181,19485,914,88968,9387.6
Kimberly-Clark,182,19440,1814,45000,41496.1
Kohl's,183,19433,938,67000,7774.6
BlackRock,184,19374,5901,18400,116186.2
Jones Lang LaSalle,185,19367,961.6,98200,11945.5
Lear,186,19263.1,373.9,160100,8513.1
Lincoln National,187,19230,1405,10848,11271.6
Charles Schwab,188,18996,5855,33400,159675.9
Ross Stores,189,18916.2,1722.6,100000,31741.7
Mastercard,190,18884,8687,24000,349330.5
Genuine Parts,191,18870.5,898.8,52000,17888.1
WestRock,192,18746.1,838.3,49900,12379
EOG Resources,193,18642,4664,2800,69796
Cognizant Technology Solutions,194,18507,2137,330600,47035
Moderna,195,18471,12202,2700,69424.3
Steel Dynamics,196,18408.9,3214.1,10640,15811.5
HF Sinclair,197,18389.1,558.3,4208,8895.8
Texas Instruments,198,18344,7769,31000,169329.6
Emerson Electric,199,18236,2303,86700,58241.7
WESCO International,200,18217.5,465.4,18000,6598.5
General Mills,201,18127,2339.8,35000,40781.8
Tenneco,202,18035,35,71000,1523
Waste Management,203,17931,1816,48500,65802.8
Viatris,204,17886.3,-1269.1,37000,13160.2
DISH Network,205,17881.1,2410.6,14500,16743.1
L3Harris Technologies,206,17814,1846,47000,47969.6
DXC Technology,207,17729,-149,134000,7977.3
Block,208,17661.2,166.3,8521,78655.9
Goodyear Tire & Rubber,209,17478,764,72000,4029.3
Uber Technologies,210,17455,-496,29300,69753
Colgate-Palmolive,211,17421,2166,33800,63742.2
Stanley Black & Decker,212,17252.7,1689.2,71300,22843.3
DuPont,213,17160,6467,28000,37739.7
Stryker,214,17108,1994,46000,100978.1
NextEra Energy,215,17069,3573,15000,166264.1
Targa Resources,216,16949.8,71.2,2430,17243.8
Western Digital,217,16922,821,65600,15536.4
PPG Industries,218,16802,1439,49300,30951.9
American Electric Power,219,16792,2488.1,16688,50338.6
Gap,220,16670,256,97000,5206.6
BJ&#8217;s Wholesale Club,221,16667.3,426.7,34000,9146.9
Reinsurance Group of America,222,16658,617,3500,7354.6
Kinder Morgan,223,16610,1784,10529,42878.1
Oneok,224,16540.3,1499.7,2847,31516
Expeditors Intl. of Washington,225,16523.5,1415.5,19070,15051
Advanced Micro Devices,226,16434,3162,15500,93566
Fiserv,227,16226,1334,44000,66132.8
Estée Lauder,228,16215,2870,53320,97672.1
Bank of New York Mellon,229,16158,3759,49100,40056.7
Laboratory Corp. of America,230,16120.9,2377.3,71725,24625.8
Regeneron Pharmaceuticals,231,16071.7,8075.3,10368,80226
Land O'Lakes,232,15916.4,287.4,9000,
Cheniere Energy,233,15864,-2343,1550,35272.3
Southwest Airlines,234,15790,977,55093,27129.3
Adobe,235,15785,4822,25988,215280.5
Synchrony Financial,236,15752,4221,18000,18145.5
Corteva,237,15655,1759,21000,41774.9
Fidelity National Financial,238,15643,2422,28290,10569
DTE Energy,239,15369,907,10300,25614.6
Murphy USA,240,15318.8,396.9,10430,4888.6
Halliburton,241,15295,1457,40000,34028.9
Automatic Data Processing,242,15005.4,2598.5,56000,95577.1
Edison International,243,14905,759,13003,26693.8
BorgWarner,244,14838,537,49300,9335
Nordstrom,245,14789,178,72000,4321.3
Loews,246,14657,1578,10340,15971.3
Guardian Life Ins. Co. of America,247,14647.8,288.8,9150,
Pioneer Natural Resources,248,14643,2118,1932,60728.3
AutoZone,249,14629.6,2170.3,85050,40582.6
Lam Research,250,14626.2,3908.5,14100,74996.7
American Family Insurance Group,251,14611.9,734.5,13590,
Illinois Tool Works,252,14455,2694,45000,65311.9
Parker-Hannifin,253,14347.6,1746.1,54640,36456.8
Otis Worldwide,254,14298,1246,70000,32700.9
Omnicom Group,255,14289.4,1407.8,71700,17565.7
Principal Financial,256,14262.7,1710.6,18600,19176.7
Dominion Energy,257,14218,3288,17100,68883
Kellogg,258,14181,1488,31000,21890.2
Fluor,259,14156.8,-440.2,40582,4051.7
AECOM,260,14112.4,173.2,51000,10856.5
Reliance Steel & Aluminum,261,14093.3,1413,13950,11313.5
Jacobs Engineering Group,262,14092.6,477,53500,17807.4
Corning,263,14082,1906,61200,31212.8
Farmers Insurance Exchange,264,14055,-366.8,11787,
Qurate Retail,265,14044,340,26745,1807.4
Pacific Life,266,13936,1102,3861,
PulteGroup,267,13926.9,1946.3,6182,10115.7
Fidelity National Information Services,268,13877,417,65000,61215.1
IQVIA Holdings,269,13874,966,79000,44140.8
Marriott International,270,13857,1099,120000,57514.9
Berry Global Group,271,13850,733,47000,7832.4
Ball,272,13811,878,24300,28909.1
Group 1 Automotive,273,13801.7,552.1,13711,2859.9
Leidos Holdings,274,13737,753,43000,14727.7
Wayfair,275,13708,-131,16681,11641.6
Consolidated Edison,276,13676,1346,13871,33525.3
Ameriprise Financial,277,13443,2760,12000,33213
Xcel Energy,278,13431,1597,11321,39275.9
O'Reilly Automotive,279,13327.6,2164.7,76158,45410.4
Global Partners,280,13248.3,60.8,2960,927.1
Discover Financial Services,281,13221,5449,16700,31076.7
Rocket Companies,282,13175.6,308.2,26000,21905.9
LKQ,283,13088.5,1090.9,46000,12941.4
W.W. Grainger,284,13022,1043,23450,26358
Quanta Services,285,12980.2,486,43700,18779.5
Crown Holdings,286,12979,-560,26000,15460.6
Fox,287,12909,2150,9000,21423.2
Sempra,288,12857,1317,15390,53087.6
Markel,289,12846.4,2425,20300,20037.5
